Gear ID,4982,Type,Primary Material,Secondary Material,Background,Rarity,Normalized Rarity,Price,Final Price
54,,Buckler,Ebony,Vulcanic,Woodland,6.57E+01,4.45,55,55 STX
55,,Buckler,Ebony,Vulcanic,Swamp,5.98E+01,4.05,50,50 STX
56,,Buckler,Ebony,Vulcanic,Ocean,5.70E+01,3.86,50,50 STX
57,,Buckler,Ebony,Vulcanic,Mines,6.10E+01,4.13,50,50 STX
58,,Buckler,Ebony,Vulcanic,Candy Land,7.07E+01,4.79,60,60 STX
59,x,Buckler,Ebony,Vulcanic,Nirvana,2.80E+02,18.97,200,200 STX
60,,Buckler,Oak,Steel,Woodland,7.13E+02,48.32,495,495 STX
61,,Buckler,Oak,Steel,Swamp,6.49E+02,43.96,450,450 STX
62,,Buckler,Oak,Steel,Ocean,6.19E+02,41.94,430,430 STX
63,,Buckler,Oak,Steel,Mines,6.62E+02,44.88,460,460 STX
64,,Buckler,Oak,Steel,Candy Land,7.68E+02,52.04,530,530 STX
65,,Buckler,Oak,Steel,Nirvana,3.04E+03,205.91,2070,2070 STX
66,,Buckler,Cherry,Steel,Woodland,2.84E+01,1.93,30,30 STX
67,,Buckler,Cherry,Steel,Swamp,2.58E+01,1.75,30,30 STX
68,,Buckler,Cherry,Steel,Ocean,2.47E+01,1.67,25,25 STX
69,,Buckler,Cherry,Steel,Mines,2.64E+01,1.79,30,30 STX
70,,Buckler,Cherry,Steel,Candy Land,3.06E+01,2.07,30,30 STX
71,x,Buckler,Cherry,Steel,Nirvana,1.21E+02,8.21,90,90 STX
72,,Buckler,Maple,Steel,Woodland,2.77E+01,1.88,30,30 STX
73,,Buckler,Maple,Steel,Swamp,2.52E+01,1.71,25,25 STX
74,,Buckler,Maple,Steel,Ocean,2.40E+01,1.63,25,25 STX
75,,Buckler,Maple,Steel,Mines,2.57E+01,1.74,25,25 STX
76,,Buckler,Maple,Steel,Candy Land,2.98E+01,2.02,30,30 STX
77,,Buckler,Maple,Steel,Nirvana,1.18E+02,8.00,90,90 STX
78,,Buckler,Birch,Steel,Woodland,2.71E+01,1.84,30,30 STX
79,,Buckler,Birch,Steel,Swamp,2.46E+01,1.67,25,25 STX
80,,Buckler,Birch,Steel,Ocean,2.35E+01,1.59,25,25 STX
81,,Buckler,Birch,Steel,Mines,2.51E+01,1.70,25,25 STX
82,,Buckler,Birch,Steel,Candy Land,2.92E+01,1.98,30,30 STX
83,x,Buckler,Birch,Steel,Nirvana,1.15E+02,7.82,90,90 STX
84,,Buckler,Ebony,Steel,Woodland,2.74E+01,1.86,30,30 STX
85,,Buckler,Ebony,Steel,Swamp,2.49E+01,1.69,25,25 STX
86,,Buckler,Ebony,Steel,Ocean,2.38E+01,1.61,25,25 STX
87,,Buckler,Ebony,Steel,Mines,2.54E+01,1.72,25,25 STX
88,,Buckler,Ebony,Steel,Candy Land,2.95E+01,2.00,30,30 STX
89,x,Buckler,Ebony,Steel,Nirvana,1.17E+02,7.91,90,90 STX
90,,Buckler,Oak,Black,Woodland,7.11E+02,48.22,490,490 STX
91,,Buckler,Oak,Black,Swamp,6.47E+02,43.88,450,450 STX
92,,Buckler,Oak,Black,Ocean,6.17E+02,41.85,430,430 STX
93,,Buckler,Oak,Black,Mines,6.61E+02,44.79,460,460 STX
94,,Buckler,Oak,Black,Candy Land,7.66E+02,51.93,530,530 STX
95,,Buckler,Oak,Black,Nirvana,3.03E+03,205.50,2065,2065 STX
96,,Buckler,Cherry,Black,Woodland,2.84E+01,1.92,30,30 STX
97,,Buckler,Cherry,Black,Swamp,2.58E+01,1.75,25,25 STX
98,,Buckler,Cherry,Black,Ocean,2.46E+01,1.67,25,25 STX
99,,Buckler,Cherry,Black,Mines,2.63E+01,1.78,30,30 STX
100,,Buckler,Cherry,Black,Candy Land,3.05E+01,2.07,30,30 STX
101,x,Buckler,Cherry,Black,Nirvana,1.21E+02,8.19,90,90 STX
102,,Buckler,Maple,Black,Woodland,2.76E+01,1.87,30,30 STX
103,,Buckler,Maple,Black,Swamp,2.51E+01,1.70,25,25 STX
104,,Buckler,Maple,Black,Ocean,2.40E+01,1.63,25,25 STX
105,,Buckler,Maple,Black,Mines,2.57E+01,1.74,25,25 STX
106,,Buckler,Maple,Black,Candy Land,2.98E+01,2.02,30,30 STX
107,,Buckler,Maple,Black,Nirvana,1.18E+02,7.98,90,90 STX
108,,Buckler,Birch,Black,Woodland,2.70E+01,1.83,30,30 STX
109,,Buckler,Birch,Black,Swamp,2.46E+01,1.67,25,25 STX
110,,Buckler,Birch,Black,Ocean,2.35E+01,1.59,25,25 STX
111,,Buckler,Birch,Black,Mines,2.51E+01,1.70,25,25 STX
112,,Buckler,Birch,Black,Candy Land,2.91E+01,1.97,30,30 STX
113,x,Buckler,Birch,Black,Nirvana,1.15E+02,7.80,90,90 STX
114,x,Buckler,Ebony,Black,Woodland,2.73E+01,1.85,30,30 STX
115,x,Buckler,Ebony,Black,Swamp,2.49E+01,1.69,25,25 STX
116,x,Buckler,Ebony,Black,Ocean,2.37E+01,1.61,25,25 STX
117,x,Buckler,Ebony,Black,Mines,2.54E+01,1.72,25,25 STX
118,x,Buckler,Ebony,Black,Candy Land,2.94E+01,1.99,30,30 STX
119,x,Buckler,Ebony,Black,Nirvana,1.16E+02,7.89,90,90 STX
120,,Buckler,Oak,Mithril,Woodland,6.77E+02,45.87,470,470 STX
121,,Buckler,Oak,Mithril,Swamp,6.16E+02,41.73,425,425 STX
122,,Buckler,Oak,Mithril,Ocean,5.87E+02,39.81,410,410 STX
123,,Buckler,Oak,Mithril,Mines,6.29E+02,42.60,435,435 STX
124,,Buckler,Oak,Mithril,Candy Land,7.29E+02,49.40,505,505 STX
125,x,Buckler,Oak,Mithril,Nirvana,2.88E+03,195.47,1965,1965 STX
126,,Buckler,Cherry,Mithril,Woodland,2.70E+01,1.83,30,30 STX
127,,Buckler,Cherry,Mithril,Swamp,2.45E+01,1.66,25,25 STX
128,,Buckler,Cherry,Mithril,Ocean,2.34E+01,1.59,25,25 STX
129,,Buckler,Cherry,Mithril,Mines,2.50E+01,1.70,25,25 STX
130,,Buckler,Cherry,Mithril,Candy Land,2.90E+01,1.97,30,30 STX
131,x,Buckler,Cherry,Mithril,Nirvana,1.15E+02,7.79,90,90 STX
132,,Buckler,Maple,Mithril,Woodland,2.63E+01,1.78,30,30 STX
133,,Buckler,Maple,Mithril,Swamp,2.39E+01,1.62,25,25 STX
134,,Buckler,Maple,Mithril,Ocean,2.28E+01,1.55,25,25 STX
135,,Buckler,Maple,Mithril,Mines,2.44E+01,1.66,25,25 STX
136,,Buckler,Maple,Mithril,Candy Land,2.83E+01,1.92,30,30 STX
137,x,Buckler,Maple,Mithril,Nirvana,1.12E+02,7.59,85,85 STX
138,,Buckler,Birch,Mithril,Woodland,2.57E+01,1.74,25,25 STX
139,,Buckler,Birch,Mithril,Swamp,2.34E+01,1.59,25,25 STX
140,,Buckler,Birch,Mithril,Ocean,2.23E+01,1.51,25,25 STX
141,,Buckler,Birch,Mithril,Mines,2.39E+01,1.62,25,25 STX
142,,Buckler,Birch,Mithril,Candy Land,2.77E+01,1.88,30,30 STX
143,x,Buckler,Birch,Mithril,Nirvana,1.10E+02,7.42,85,85 STX
144,,Buckler,Ebony,Mithril,Woodland,2.60E+01,1.76,30,30 STX
145,,Buckler,Ebony,Mithril,Swamp,2.36E+01,1.60,25,25 STX
146,,Buckler,Ebony,Mithril,Ocean,2.26E+01,1.53,25,25 STX
147,,Buckler,Ebony,Mithril,Mines,2.41E+01,1.64,25,25 STX
148,,Buckler,Ebony,Mithril,Candy Land,2.80E+01,1.90,30,30 STX
149,x,Buckler,Ebony,Mithril,Nirvana,1.11E+02,7.51,85,85 STX
150,,Buckler,Oak,Adamantite,Woodland,9.71E+02,65.79,670,670 STX
151,,Buckler,Oak,Adamantite,Swamp,8.83E+02,59.86,610,610 STX
152,,Buckler,Oak,Adamantite,Ocean,8.42E+02,57.10,580,580 STX
153,,Buckler,Oak,Adamantite,Mines,9.01E+02,61.11,620,620 STX
154,,Buckler,Oak,Adamantite,Candy Land,1.05E+03,70.85,720,720 STX
155,x,Buckler,Oak,Adamantite,Nirvana,4.14E+03,280.36,2815,2815 STX
156,,Buckler,Cherry,Adamantite,Woodland,3.87E+01,2.62,35,35 STX
157,,Buckler,Cherry,Adamantite,Swamp,3.52E+01,2.39,35,35 STX
158,,Buckler,Cherry,Adamantite,Ocean,3.36E+01,2.28,35,35 STX
159,,Buckler,Cherry,Adamantite,Mines,3.59E+01,2.44,35,35 STX
160,,Buckler,Cherry,Adamantite,Candy Land,4.17E+01,2.82,40,40 STX
161,x,Buckler,Cherry,Adamantite,Nirvana,1.65E+02,11.17,120,120 STX
162,,Buckler,Maple,Adamantite,Woodland,3.77E+01,2.56,35,35 STX
163,,Buckler,Maple,Adamantite,Swamp,3.43E+01,2.33,35,35 STX
164,,Buckler,Maple,Adamantite,Ocean,3.27E+01,2.22,30,30 STX
165,,Buckler,Maple,Adamantite,Mines,3.50E+01,2.37,35,35 STX
166,,Buckler,Maple,Adamantite,Candy Land,4.06E+01,2.75,40,40 STX
167,x,Buckler,Maple,Adamantite,Nirvana,1.61E+02,10.89,120,120 STX
168,,Buckler,Birch,Adamantite,Woodland,3.69E+01,2.50,35,35 STX
169,,Buckler,Birch,Adamantite,Swamp,3.35E+01,2.27,35,35 STX
170,,Buckler,Birch,Adamantite,Ocean,3.20E+01,2.17,30,30 STX
171,,Buckler,Birch,Adamantite,Mines,3.42E+01,2.32,35,35 STX
172,,Buckler,Birch,Adamantite,Candy Land,3.97E+01,2.69,35,35 STX
173,x,Buckler,Birch,Adamantite,Nirvana,1.57E+02,10.65,115,115 STX
174,,Buckler,Ebony,Adamantite,Woodland,3.73E+01,2.53,35,35 STX
175,,Buckler,Ebony,Adamantite,Swamp,3.39E+01,2.30,35,35 STX
176,,Buckler,Ebony,Adamantite,Ocean,3.24E+01,2.19,30,30 STX
177,,Buckler,Ebony,Adamantite,Mines,3.46E+01,2.35,35,35 STX
178,,Buckler,Ebony,Adamantite,Candy Land,4.01E+01,2.72,35,35 STX
179,x,Buckler,Ebony,Adamantite,Nirvana,1.59E+02,10.77,120,120 STX
180,,Buckler,Oak,Dragon Scale,Woodland,8.34E+02,56.52,575,575 STX
181,,Buckler,Oak,Dragon Scale,Swamp,7.59E+02,51.42,525,525 STX
182,,Buckler,Oak,Dragon Scale,Ocean,7.24E+02,49.05,500,500 STX
183,,Buckler,Oak,Dragon Scale,Mines,7.74E+02,52.49,535,535 STX
184,,Buckler,Oak,Dragon Scale,Candy Land,8.98E+02,60.86,620,620 STX
185,x,Buckler,Oak,Dragon Scale,Nirvana,3.55E+03,240.84,2420,2420 STX
186,,Buckler,Cherry,Dragon Scale,Woodland,3.32E+01,2.25,35,35 STX
187,,Buckler,Cherry,Dragon Scale,Swamp,3.02E+01,2.05,30,30 STX
188,,Buckler,Cherry,Dragon Scale,Ocean,2.88E+01,1.95,30,30 STX
189,,Buckler,Cherry,Dragon Scale,Mines,3.09E+01,2.09,30,30 STX
190,,Buckler,Cherry,Dragon Scale,Candy Land,3.58E+01,2.43,35,35 STX
191,x,Buckler,Cherry,Dragon Scale,Nirvana,1.42E+02,9.60,105,105 STX
192,,Buckler,Maple,Dragon Scale,Woodland,3.24E+01,2.20,30,30 STX
193,,Buckler,Maple,Dragon Scale,Swamp,2.95E+01,2.00,30,30 STX
194,,Buckler,Maple,Dragon Scale,Ocean,2.81E+01,1.91,30,30 STX
195,,Buckler,Maple,Dragon Scale,Mines,3.01E+01,2.04,30,30 STX
196,,Buckler,Maple,Dragon Scale,Candy Land,3.49E+01,2.36,35,35 STX
197,x,Buckler,Maple,Dragon Scale,Nirvana,1.38E+02,9.36,105,105 STX
198,,Buckler,Birch,Dragon Scale,Woodland,3.17E+01,2.15,30,30 STX
199,,Buckler,Birch,Dragon Scale,Swamp,2.88E+01,1.95,30,30 STX
200,,Buckler,Birch,Dragon Scale,Ocean,2.75E+01,1.86,30,30 STX
201,,Buckler,Birch,Dragon Scale,Mines,2.94E+01,1.99,30,30 STX
202,,Buckler,Birch,Dragon Scale,Candy Land,3.41E+01,2.31,35,35 STX
203,x,Buckler,Birch,Dragon Scale,Nirvana,1.35E+02,9.15,100,100 STX
204,,Buckler,Ebony,Dragon Scale,Woodland,3.20E+01,2.17,30,30 STX
205,,Buckler,Ebony,Dragon Scale,Swamp,2.91E+01,1.98,30,30 STX
206,,Buckler,Ebony,Dragon Scale,Ocean,2.78E+01,1.88,30,30 STX
207,,Buckler,Ebony,Dragon Scale,Mines,2.97E+01,2.02,30,30 STX
208,,Buckler,Ebony,Dragon Scale,Candy Land,3.45E+01,2.34,35,35 STX
209,x,Buckler,Ebony,Dragon Scale,Nirvana,1.36E+02,9.25,105,105 STX
210,,Tower Shield,Oak,Iron,Woodland,6.42E+02,43.53,445,445 STX
211,,Tower Shield,Oak,Iron,Swamp,5.84E+02,39.61,405,405 STX
212,,Tower Shield,Oak,Iron,Ocean,5.57E+02,37.78,390,390 STX
213,,Tower Shield,Oak,Iron,Mines,5.96E+02,40.43,415,415 STX
214,,Tower Shield,Oak,Iron,Candy Land,6.92E+02,46.88,480,480 STX
215,,Tower Shield,Oak,Iron,Nirvana,2.74E+03,185.51,1865,1865 STX
216,,Tower Shield,Cherry,Iron,Woodland,2.56E+01,1.73,25,25 STX
217,,Tower Shield,Cherry,Iron,Swamp,2.33E+01,1.58,25,25 STX
218,,Tower Shield,Cherry,Iron,Ocean,2.22E+01,1.51,25,25 STX
219,,Tower Shield,Cherry,Iron,Mines,2.38E+01,1.61,25,25 STX
220,,Tower Shield,Cherry,Iron,Candy Land,2.76E+01,1.87,30,30 STX
221,x,Tower Shield,Cherry,Iron,Nirvana,1.09E+02,7.39,85,85 STX
222,,Tower Shield,Maple,Iron,Woodland,2.50E+01,1.69,25,25 STX
223,,Tower Shield,Maple,Iron,Swamp,2.27E+01,1.54,25,25 STX
224,,Tower Shield,Maple,Iron,Ocean,2.17E+01,1.47,25,25 STX
225,,Tower Shield,Maple,Iron,Mines,2.32E+01,1.57,25,25 STX
226,,Tower Shield,Maple,Iron,Candy Land,2.69E+01,1.82,30,30 STX
227,,Tower Shield,Maple,Iron,Nirvana,1.06E+02,7.21,80,80 STX
228,,Tower Shield,Birch,Iron,Woodland,2.44E+01,1.65,25,25 STX
229,,Tower Shield,Birch,Iron,Swamp,2.22E+01,1.50,25,25 STX
230,,Tower Shield,Birch,Iron,Ocean,2.12E+01,1.43,25,25 STX
231,,Tower Shield,Birch,Iron,Mines,2.27E+01,1.54,25,25 STX
232,,Tower Shield,Birch,Iron,Candy Land,2.63E+01,1.78,30,30 STX
233,x,Tower Shield,Birch,Iron,Nirvana,1.04E+02,7.05,80,80 STX
234,,Tower Shield,Ebony,Iron,Woodland,2.47E+01,1.67,25,25 STX
235,,Tower Shield,Ebony,Iron,Swamp,2.24E+01,1.52,25,25 STX
236,,Tower Shield,Ebony,Iron,Ocean,2.14E+01,1.45,25,25 STX
237,,Tower Shield,Ebony,Iron,Mines,2.29E+01,1.55,25,25 STX
238,,Tower Shield,Ebony,Iron,Candy Land,2.66E+01,1.80,30,30 STX
239,x,Tower Shield,Ebony,Iron,Nirvana,1.05E+02,7.13,80,80 STX
240,,Tower Shield,Oak,Vulcanic,Woodland,1.85E+03,125.24,1260,1260 STX
241,,Tower Shield,Oak,Vulcanic,Swamp,1.68E+03,113.94,1150,1150 STX
242,,Tower Shield,Oak,Vulcanic,Ocean,1.60E+03,108.69,1095,1095 STX
243,,Tower Shield,Oak,Vulcanic,Mines,1.72E+03,116.32,1175,1175 STX
244,x,Tower Shield,Oak,Vulcanic,Candy Land,1.99E+03,134.86,1360,1360 STX
245,x,Tower Shield,Oak,Vulcanic,Nirvana,7.87E+03,533.66,5345,5345 STX
246,x,Tower Shield,Cherry,Vulcanic,Woodland,7.36E+01,4.99,60,60 STX
247,x,Tower Shield,Cherry,Vulcanic,Swamp,6.70E+01,4.54,55,55 STX
248,x,Tower Shield,Cherry,Vulcanic,Ocean,6.39E+01,4.33,55,55 STX
249,x,Tower Shield,Cherry,Vulcanic,Mines,6.84E+01,4.64,55,55 STX
250,x,Tower Shield,Cherry,Vulcanic,Candy Land,7.93E+01,5.37,65,65 STX
251,x,Tower Shield,Cherry,Vulcanic,Nirvana,3.14E+02,21.27,225,225 STX
252,x,Tower Shield,Maple,Vulcanic,Woodland,7.18E+01,4.87,60,60 STX
253,x,Tower Shield,Maple,Vulcanic,Swamp,6.53E+01,4.43,55,55 STX
254,x,Tower Shield,Maple,Vulcanic,Ocean,6.23E+01,4.22,50,50 STX
255,x,Tower Shield,Maple,Vulcanic,Mines,6.67E+01,4.52,55,55 STX
256,x,Tower Shield,Maple,Vulcanic,Candy Land,7.73E+01,5.24,60,60 STX
257,x,Tower Shield,Maple,Vulcanic,Nirvana,3.06E+02,20.74,215,215 STX
258,x,Tower Shield,Birch,Vulcanic,Woodland,7.02E+01,4.76,60,60 STX
259,x,Tower Shield,Birch,Vulcanic,Swamp,6.38E+01,4.33,55,55 STX
260,x,Tower Shield,Birch,Vulcanic,Ocean,6.09E+01,4.13,50,50 STX
261,x,Tower Shield,Birch,Vulcanic,Mines,6.52E+01,4.42,55,55 STX
262,x,Tower Shield,Birch,Vulcanic,Candy Land,7.56E+01,5.12,60,60 STX
263,x,Tower Shield,Birch,Vulcanic,Nirvana,2.99E+02,20.27,215,215 STX
264,,Tower Shield,Ebony,Vulcanic,Woodland,7.10E+01,4.81,60,60 STX
265,,Tower Shield,Ebony,Vulcanic,Swamp,6.46E+01,4.38,55,55 STX
266,,Tower Shield,Ebony,Vulcanic,Ocean,6.16E+01,4.17,50,50 STX
267,,Tower Shield,Ebony,Vulcanic,Mines,6.59E+01,4.47,55,55 STX
268,x,Tower Shield,Ebony,Vulcanic,Candy Land,7.64E+01,5.18,60,60 STX
269,x,Tower Shield,Ebony,Vulcanic,Nirvana,3.02E+02,20.50,215,215 STX
270,,Tower Shield,Oak,Steel,Woodland,7.70E+02,52.21,530,530 STX
271,,Tower Shield,Oak,Steel,Swamp,7.01E+02,47.50,485,485 STX
272,,Tower Shield,Oak,Steel,Ocean,6.69E+02,45.31,465,465 STX
273,,Tower Shield,Oak,Steel,Mines,7.15E+02,48.49,495,495 STX
274,,Tower Shield,Oak,Steel,Candy Land,8.29E+02,56.23,570,570 STX
275,,Tower Shield,Oak,Steel,Nirvana,3.28E+03,222.49,2235,2235 STX
276,,Tower Shield,Cherry,Steel,Woodland,3.07E+01,2.08,30,30 STX
277,,Tower Shield,Cherry,Steel,Swamp,2.79E+01,1.89,30,30 STX
278,,Tower Shield,Cherry,Steel,Ocean,2.66E+01,1.81,30,30 STX
279,,Tower Shield,Cherry,Steel,Mines,2.85E+01,1.93,30,30 STX
280,,Tower Shield,Cherry,Steel,Candy Land,3.31E+01,2.24,30,30 STX
281,x,Tower Shield,Cherry,Steel,Nirvana,1.31E+02,8.87,100,100 STX
282,,Tower Shield,Maple,Steel,Woodland,2.99E+01,2.03,30,30 STX
283,,Tower Shield,Maple,Steel,Swamp,2.72E+01,1.85,30,30 STX
284,,Tower Shield,Maple,Steel,Ocean,2.60E+01,1.76,30,30 STX
285,,Tower Shield,Maple,Steel,Mines,2.78E+01,1.88,30,30 STX
286,,Tower Shield,Maple,Steel,Candy Land,3.22E+01,2.18,30,30 STX
287,,Tower Shield,Maple,Steel,Nirvana,1.28E+02,8.64,95,95 STX
288,x,Tower Shield,Birch,Steel,Woodland,2.93E+01,1.98,30,30 STX
289,x,Tower Shield,Birch,Steel,Swamp,2.66E+01,1.80,30,30 STX
290,x,Tower Shield,Birch,Steel,Ocean,2.54E+01,1.72,25,25 STX
291,x,Tower Shield,Birch,Steel,Mines,2.72E+01,1.84,30,30 STX
292,x,Tower Shield,Birch,Steel,Candy Land,3.15E+01,2.14,30,30 STX
293,x,Tower Shield,Birch,Steel,Nirvana,1.25E+02,8.45,95,95 STX
294,,Tower Shield,Ebony,Steel,Woodland,2.96E+01,2.01,30,30 STX
295,,Tower Shield,Ebony,Steel,Swamp,2.69E+01,1.82,30,30 STX
296,,Tower Shield,Ebony,Steel,Ocean,2.57E+01,1.74,25,25 STX
297,,Tower Shield,Ebony,Steel,Mines,2.75E+01,1.86,30,30 STX
298,,Tower Shield,Ebony,Steel,Candy Land,3.19E+01,2.16,30,30 STX
299,x,Tower Shield,Ebony,Steel,Nirvana,1.26E+02,8.55,95,95 STX
300,,Tower Shield,Oak,Black,Woodland,7.69E+02,52.11,530,530 STX
301,,Tower Shield,Oak,Black,Swamp,6.99E+02,47.41,485,485 STX
302,,Tower Shield,Oak,Black,Ocean,6.67E+02,45.22,460,460 STX
303,,Tower Shield,Oak,Black,Mines,7.14E+02,48.40,495,495 STX
304,,Tower Shield,Oak,Black,Candy Land,8.28E+02,56.11,570,570 STX
305,,Tower Shield,Oak,Black,Nirvana,3.28E+03,222.05,2230,2230 STX
306,,Tower Shield,Cherry,Black,Woodland,3.06E+01,2.08,30,30 STX
307,,Tower Shield,Cherry,Black,Swamp,2.79E+01,1.89,30,30 STX
308,,Tower Shield,Cherry,Black,Ocean,2.66E+01,1.80,30,30 STX
309,,Tower Shield,Cherry,Black,Mines,2.85E+01,1.93,30,30 STX
310,,Tower Shield,Cherry,Black,Candy Land,3.30E+01,2.24,30,30 STX
311,x,Tower Shield,Cherry,Black,Nirvana,1.31E+02,8.85,100,100 STX
312,,Tower Shield,Maple,Black,Woodland,2.99E+01,2.02,30,30 STX
313,,Tower Shield,Maple,Black,Swamp,2.72E+01,1.84,30,30 STX
314,,Tower Shield,Maple,Black,Ocean,2.59E+01,1.76,30,30 STX
315,,Tower Shield,Maple,Black,Mines,2.77E+01,1.88,30,30 STX
316,,Tower Shield,Maple,Black,Candy Land,3.22E+01,2.18,30,30 STX
317,,Tower Shield,Maple,Black,Nirvana,1.27E+02,8.63,95,95 STX
318,,Tower Shield,Birch,Black,Woodland,2.92E+01,1.98,30,30 STX
319,,Tower Shield,Birch,Black,Swamp,2.66E+01,1.80,30,30 STX
320,,Tower Shield,Birch,Black,Ocean,2.53E+01,1.72,25,25 STX
321,,Tower Shield,Birch,Black,Mines,2.71E+01,1.84,30,30 STX
322,,Tower Shield,Birch,Black,Candy Land,3.14E+01,2.13,30,30 STX
323,x,Tower Shield,Birch,Black,Nirvana,1.24E+02,8.43,95,95 STX
324,x,Tower Shield,Ebony,Black,Woodland,2.95E+01,2.00,30,30 STX
325,x,Tower Shield,Ebony,Black,Swamp,2.69E+01,1.82,30,30 STX
326,x,Tower Shield,Ebony,Black,Ocean,2.56E+01,1.74,25,25 STX
327,x,Tower Shield,Ebony,Black,Mines,2.74E+01,1.86,30,30 STX
328,x,Tower Shield,Ebony,Black,Candy Land,3.18E+01,2.16,30,30 STX
329,x,Tower Shield,Ebony,Black,Nirvana,1.26E+02,8.53,95,95 STX
330,,Tower Shield,Oak,Mithril,Woodland,7.31E+02,49.57,505,505 STX
331,,Tower Shield,Oak,Mithril,Swamp,6.65E+02,45.10,460,460 STX
332,,Tower Shield,Oak,Mithril,Ocean,6.35E+02,43.02,440,440 STX
